team,position,games,wins,draws,losses,goals_for,goals_against,points,xg,xga,champion,relegated,season,goal_diff,ppg,xg_diff
Manchester City,1,38,29,6,3,99,26,93,92.5,28.5,1,0,2021-22,73,2.4473684210526314,64.0
Liverpool,2,38,28,8,2,94,26,92,88.2,30.2,0,0,2021-22,68,2.4210526315789473,58.0
Chelsea,3,38,21,11,6,76,33,74,72.5,38.5,0,0,2021-22,43,1.9473684210526316,34.0
Tottenham,4,38,22,5,11,69,40,71,65.8,45.2,0,0,2021-22,29,1.868421052631579,20.599999999999994
Arsenal,5,38,22,3,13,61,48,69,58.2,50.5,0,0,2021-22,13,1.8157894736842106,7.700000000000003
Manchester Utd,6,38,16,10,12,57,57,58,55.5,55.2,0,0,2021-22,0,1.5263157894736843,0.29999999999999716
West Ham,7,38,16,8,14,60,51,56,58.2,52.5,0,0,2021-22,9,1.4736842105263157,5.700000000000003
Leicester,8,38,14,10,14,62,59,52,58.5,55.8,0,0,2021-22,3,1.368421052631579,2.700000000000003
Brighton,9,38,12,15,11,42,44,51,45.2,48.2,0,0,2021-22,-2,1.3421052631578947,-3.0
Wolves,10,38,15,6,17,38,43,51,42.5,48.5,0,0,2021-22,-5,1.3421052631578947,-6.0
Newcastle,11,38,13,10,15,44,62,49,45.8,58.2,0,0,2021-22,-18,1.2894736842105263,-12.400000000000006
Crystal Palace,12,38,11,15,12,50,46,48,48.2,50.5,0,0,2021-22,4,1.263157894736842,-2.299999999999997
Brentford,13,38,13,7,18,48,56,46,50.5,52.8,0,0,2021-22,-8,1.2105263157894737,-2.299999999999997
Aston Villa,14,38,13,6,19,52,54,45,52.8,55.2,0,0,2021-22,-2,1.1842105263157894,-2.4000000000000057
Southampton,15,38,9,13,16,43,67,40,45.2,62.5,0,0,2021-22,-24,1.0526315789473684,-17.299999999999997
Everton,16,38,11,6,21,43,66,39,45.8,60.2,0,0,2021-22,-23,1.0263157894736843,-14.400000000000006
Leeds,17,38,9,11,18,42,79,38,48.2,72.5,0,0,2021-22,-37,1.0,-24.299999999999997
Burnley,18,38,7,14,17,34,53,35,38.5,55.8,0,1,2021-22,-19,0.9210526315789473,-17.299999999999997
Watford,19,38,6,5,27,34,77,23,38.2,72.5,0,1,2021-22,-43,0.6052631578947368,-34.3
Norwich,20,38,5,7,26,23,84,22,28.5,78.2,0,1,2021-22,-61,0.5789473684210527,-49.7
